griechischer Joghurt 10%;griechischer Joghurt 10%;10000;13300;650;1000;430;410;0;0
Grießbrei;Grießbrei;10000;10500;370;290;1600;400;0;0
Grissinis;Grissini;10000;23800;600;940;3000;200;470;0
Grüne Bohnen;Grüne Bohne;10000;3200;200;0;500;300;200;0
Grüne Erbsen;Grüne Erbse;10000;8400;700;40;1100;100;400;0
Grüner Spargel;Grüner Spargel;10000;2100;190;20;280;20;0;0
Grüner tee;Grüner tee;10000;200;20;10;10;0;10;0
Grünkohl;Grünkohl;10000;4100;380;80;270;200;400;0
Grützwurst;Grützwurst;10000;24300;1120;1740;1040;0;0;0
Guacamole;Guacamole;10000;16000;200;1500;320;170;220;0
Guarkernmehl;Guarkernmehl;10000;2400;500;0;0;0;200;0
Guave;Guave;10000;4700;100;100;600;500;500;0
Gummibärchen;Gummibär;10000;34000;500;0;8000;7800;0;0
Gurke grün;Gurke grün;10000;1200;100;0;200;200;0;0
Gyros;Gyros;10000;14900;1700;900;0;0;0;0
Hackfleisch gemischt;Hackfleisch gemischt;10000;33600;2100;2800;0;0;0;0
Haferflocken;Haferflocken;10000;33900;1030;650;5500;100;980;0
Haferkleie;Haferkleie;10000;35000;1540;780;4520;130;1860;0
Hafermilch;Hafermilch;10000;4200;100;150;600;500;0;0
Hagebutten;Hagebutte;10000;12000;160;20;1600;400;2400;0
Hagebuttentee;Hagebuttentee;10000;0;0;0;0;0;0;0
Hähnchen;Hähnchen;10000;16100;2000;900;0;0;0;0
Hähnchen gebraten;Hähnchen gebraten;10000;17500;2200;970;0;0;0;0
Hähnchenbrust;Hähnchenbrust;10000;11600;2000;400;0;0;0;0
Hähnchenleber;Hähnchenleber;10000;11600;2000;400;0;0;0;0
Hähnchenschenkel;Hähnchenschenkel;10000;16100;2000;900;0;0;0;0
Hähnchenschnitzel paniert gebraten;Hähnchenschnitzel paniert gebraten;10000;19100;1700;700;1500;0;0;0
Halbfettmargarine;Halbfettmargarine;10000;36000;0;4000;0;0;0;0
Halloumi;Halloumi;10000;29300;2200;2180;220;130;0;0
Hamburger;Hamburger;10000;28500;1700;1300;2400;500;200;0
Handkäse;Handkäse;10000;12000;2900;50;0;0;0;0
Hanfmehl;Hanfmehl;10000;28700;3000;800;120;0;4500;0
Hanfsamen;Hanfsamen;10000;58600;3300;4400;1200;100;500;0
Harzer Käse;Harzer Käse;10000;11600;2800;50;0;0;0;0
Hase;Hase;10000;9800;2000;200;0;0;0;0
Haselnüsse;Haselnuss;10000;63500;1200;6100;580;100;740;0
Haselnussmilch;Haselnussmilch;10000;2900;40;160;310;310;30;0
Haselnussmus;Haselnussmus;10000;68800;1500;6400;1100;800;400;0
Hefeflocken;Hefeflocken;10000;28600;4900;600;900;20;0;0
Hefeteig;Hefeteig;10000;20200;600;100;4200;0;30;0
Hefezopf;Hefezopf;10000;28400;840;660;4300;1200;940;0
Heidelbeeren;Heidelbeere;10000;3900;100;0;600;500;540;0
Heilbutt;Heilbutt;10000;10700;2280;180;0;0;0;0
Heiße Schokolade;Heiße Schokolade;10000;7000;300;400;540;450;0;0
Heringsfilet;Heringsfilet;10000;20700;1800;1500;0;0;0;0
Himbeeren;Himbeere;10000;3300;100;0;500;500;460;0
Hirsch;Hirsch;10000;10200;2100;200;0;0;0;0
Hirse;Hirse;10000;34400;1000;300;6730;200;410;0
Hirseflocken;Hirseflocken;10000;36600;1180;280;7330;0;0;0
Holunder;Holunder;10000;4500;60;50;800;800;300;0
Holundersaft;Holunderbeerensaft;10000;4000;200;0;600;500;400;0
Honig;Honig;10000;31200;0;0;7800;7800;0;0
Honigmelone;Honigmelone;10000;4800;100;0;1100;1100;0;0
Hugo Aperitif Cocktail;Hugo Aperitif Cocktail;10000;9400;10;10;1100;1080;0;690
Hühnerfrikassee;Hühnerfrikassee;10000;9600;1250;330;380;90;40;0
Hühnersuppe;Hühnersuppe;10000;3400;240;120;350;160;0;0
Hummer;Hummer;10000;8800;2010;80;0;0;0;0
Hummus;Hummus;10000;19000;800;1000;1400;0;600;0
Hüttenkäse;Hüttenkäse;10000;9300;1080;410;330;210;0;0
Ingwer;Ingwer;10000;7000;160;80;1300;200;200;0
Isomalt;Isomalt;10000;20000;0;0;10000;0;0;0
Jagdwurst;Jagdwurst;10000;21000;1200;1800;0;0;0;0
Jägermeister Kräuterlikör;Jägermeister Kräuterlikör;10000;24700;0;0;1200;1200;0;2800
Jakobsmuschel;Jakobsmuschel;10000;5600;1140;120;0;0;0;0
Jasminreis roh;Jasminreis roh;10000;35600;800;40;8010;0;0;0
Joghurt, 0,1%;Joghurt, 0,1%;10000;4600;550;10;580;580;0;0
Joghurt, 1,5%;Joghurt, 1,5%;10000;4700;340;150;500;500;0;0
Joghurt, 3.5%;Joghurt, 3.5%;10000;6500;340;350;500;500;0;0
Joghurtdressing;Joghurtdressing;10000;14600;150;1200;800;400;0;0
Joghurteis;Joghurteis;10000;9100;200;300;1400;1400;0;0
Johannisbrotkernmehl;Johannisbrotkernmehl;10000;3700;600;100;100;100;0;0
Kabeljau / Dorsch;Kabeljau / Dorsch;10000;7800;1800;70;0;0;0;0
Kaffee komplett;Kaffee komplett;10000;1500;10;10;350;350;0;0
Kaffee mit Milch;Kaffee mit Milch;10000;200;10;10;10;0;0;0
Kaffee schwarz;Kaffee schwarz;10000;0;0;0;0;0;0;0
Kaffeesahne 10%;Kaffeesahne 10%;10000;11800;300;1000;400;400;0;0
Kaffeesahne 4%;Kaffeesahne 4%;10000;6400;300;400;400;400;0;0
Kaffeesahne 7,5%;Kaffeesahne 7,5%;10000;9600;300;750;400;400;0;0
Kaisergemüse;Kaisergemüse;10000;2800;200;20;330;120;270;0
Kaiserschmarrn;Kaiserschmarrn;10000;15400;500;500;2200;900;40;0
Kakao, stark entölt;Kakao, stark entölt;10000;33700;2300;1500;1000;200;3500;0
Kakaobohnen;Kakaobohne;10000;41500;2000;2500;1100;100;3300;0
Kakaobutter;Kakaobutter;10000;90000;0;10000;0;0;0;0
Kakaofasern;Kakaofaser;10000;26300;1730;780;250;50;5700;0
Kakaomilch 1,5%;Kakaomilch 1,5%;10000;11500;300;260;2000;2000;0;0
Kakaomilch 3,5%;Kakaomilch 3,5%;10000;12400;300;360;2000;2000;0;0
Kakaopulver gezuckert;Kakaopulver gezuckert;10000;37700;400;300;8000;7800;700;0
Kaki;Kaki;10000;6800;100;0;1500;1500;200;0
Kalbsbries;Kalbsbries;10000;8300;1400;300;0;0;0;0
Kalbsfilet;Kalbsfilet;10000;10200;2000;240;0;0;0;0
Kalbsfleisch;Kalbsfleisch;10000;11600;2000;400;0;0;0;0
Kalbsleber;Kalbsleber;10000;7000;1300;70;300;0;0;0
Kalbsleberwurst;Kalbsleberwurst;10000;29100;1500;2500;140;0;10;0
Kalbsrücken;Kalbsrücken;10000;10700;2000;300;0;0;0;0
Kalbsschnitzel;Kalbsschnitzel;10000;10900;2100;280;0;0;0;0
Kamut;Kamut;10000;36500;1300;220;6820;800;1010;0
Kandiszucker;Kandiszucker;10000;40000;0;0;10000;10000;0;0
Kaninchen;Kaninchen;10000;14200;2200;600;0;0;0;0
Kapern, Glas;Kapern, Glas;10000;4400;240;80;500;50;340;0
Physalis;Kapstachelbeere;10000;7300;250;100;1300;1240;100;0
Karambole;Karambole;10000;3000;80;100;380;380;140;0
Karamel;Karamel;10000;40000;0;0;10000;10000;0;0
Kardamom gemahlen;Kardamom gemahlen;10000;38900;1060;640;6590;100;1270;0
Karottensaft;Karottensaft;10000;2500;50;20;500;400;50;0
Karpfen;Karpfen;10000;11300;1700;500;0;0;0;0
Kartoffeln gekocht;Kartoffel gekocht;10000;7300;150;0;1600;40;170;0
Kartoffeln roh;Kartoffel roh;10000;7700;170;30;1600;210;180;0
Kartoffelbrot;Kartoffelbrot;10000;25600;1300;310;4100;1300;600;0
Kartoffelchips;Kartoffelchips;10000;55600;600;3500;5200;100;460;0
Kartoffelfasern;Kartoffelfaser;10000;19900;900;10;800;10;6500;0
Kartoffelgratin;Kartoffelgratin;10000;12300;200;500;1700;200;120;0
Kartoffelpuffer;Kartoffelpuffer;10000;26300;600;1500;2500;240;180;0
Kartoffelpüree;Kartoffelpüree;10000;7100;200;140;1200;120;130;0
Kartoffelsalat;Kartoffelsalat;10000;17000;300;1200;1200;400;110;0
Kartoffelspalten;Kartoffelspalten;10000;11000;170;400;1600;210;180;0
Kartoffelstärke;Kartoffelstärke;10000;32100;50;10;7940;0;10;0
Kartoffelsuppe;Kartoffelsuppe;10000;4100;100;130;610;0;30;0
Käsekuchen;Käsekuchen;10000;32600;600;2100;2800;2600;40;0
Käsespätzle;Käsespätzle;10000;19400;800;800;2200;70;90;0
Kasseler;Kasseler;10000;12700;2500;300;0;0;0;0
Katenschinken;Katenschinken;10000;20000;2200;1200;100;100;0;0
Kaugummi;Kaugummi;10000;37600;0;0;9400;9400;0;0
Kaviar;Kaviar;10000;25900;2700;1500;400;0;0;0
Kefir;Kefir;10000;5900;340;350;350;350;0;0
Kekse;Keks;10000;32200;790;1200;4500;1600;140;0
Kerbel;Kerbel;10000;5100;380;60;610;0;310;0
Ketchup;Ketchup;10000;12200;100;70;2800;2250;0;0
Kichererbsen;Kichererbse roh;10000;35300;2000;700;4500;300;1480;0
Kichererbsenmehl;Kichererbsenmehl;10000;36200;2000;670;5000;200;1100;0
Kidneybohnen;Kidneybohne;10000;29500;2100;100;4000;20;2100;0
Kiwi;Kiwi;10000;4900;100;100;800;800;200;0
Klöße gekocht;Klöße gekocht;10000;11200;200;0;2610;0;0;0
Knoblauch;Knoblauch;10000;13600;580;20;2700;800;170;0
Knuspermüsli;Knuspermüsli;10000;44200;1000;1500;6300;2400;730;0
Kochschinken;Kochschinken;10000;11100;2000;300;100;100;0;0
Köfte türkisch;Köfte türkisch;10000;18900;1520;1200;490;20;40;0
Kohlrabi;Kohlrabi;10000;3000;200;40;400;380;130;0
Kohlrübe;Kohlrübe;10000;3100;100;20;500;480;250;0
Kokosblütenzucker;Kokosblütenzucker;10000;38400;100;50;9400;9400;0;0
